time,open,high,low,close,volume
2024-01-02 07:05:00,0.86626,0.8664,0.86604,0.86633,519.2600100040436
2024-01-02 07:10:00,0.86633,0.86637,0.86607,0.86609,460.94001030921936
2024-01-02 07:15:00,0.86608,0.8661,0.86572,0.86588,592.7800168991089
2024-01-02 07:20:00,0.86586,0.86632,0.8658,0.86627,514.000011920929
2024-01-02 07:25:00,0.86628,0.86647,0.8662,0.86643,550.0500124692917
2024-01-02 07:30:00,0.86642,0.86642,0.86608,0.86627,758.1200226545334
2024-01-02 07:35:00,0.86628,0.86642,0.86607,0.86628,703.6100188493729
2024-01-02 07:40:00,0.86628,0.86633,0.86613,0.86621,681.5300158262253
2024-01-02 07:45:00,0.86622,0.86635,0.86606,0.86621,897.6200143098831
2024-01-02 07:50:00,0.8662,0.86622,0.86563,0.86577,1352.1500216722488
2024-01-02 07:55:00,0.86577,0.86586,0.86512,0.8652,1584.0500346422195
2024-01-02 08:00:00,0.86523,0.86564,0.86488,0.86499,1987.390041589737
2024-01-02 08:05:00,0.865,0.86529,0.86466,0.86488,1406.0200452804565
2024-01-02 08:10:00,0.86489,0.86529,0.86483,0.86483,1482.4300285577774
2024-01-02 08:15:00,0.86484,0.86527,0.86475,0.86499,1449.1300251483917
2024-01-02 08:20:00,0.865,0.8653,0.86499,0.86508,1155.7800207138062
2024-01-02 08:25:00,0.86509,0.86526,0.86507,0.86513,799.270023226738
2024-01-02 08:30:00,0.86513,0.86525,0.86499,0.86507,798.6600230932236
2024-01-02 08:35:00,0.86507,0.86538,0.86506,0.86525,966.620025396347
2024-01-02 08:40:00,0.86524,0.8654,0.86516,0.86518,615.390015244484
2024-01-02 08:45:00,0.86518,0.86521,0.86485,0.86509,912.5100181102753
2024-01-02 08:50:00,0.86511,0.86532,0.86505,0.86505,1188.2400259971619
2024-01-02 08:55:00,0.86507,0.86523,0.86464,0.86517,1041.0500198602676
2024-01-02 09:00:00,0.86518,0.86542,0.86498,0.86542,863.3000228404999
2024-01-02 09:05:00,0.86542,0.86563,0.86528,0.86534,553.300012588501
2024-01-02 09:10:00,0.86533,0.86554,0.8653,0.86544,889.1500210762024
2024-01-02 09:15:00,0.86546,0.86566,0.86544,0.86561,695.0900156497955
2024-01-02 09:20:00,0.86564,0.86582,0.86564,0.86582,603.9200152158737
2024-01-02 09:25:00,0.86585,0.86595,0.86562,0.86577,767.1200151443481
2024-01-02 09:30:00,0.86576,0.86585,0.86554,0.8656,877.6400181055069
2024-01-02 09:35:00,0.86561,0.86598,0.86556,0.86592,961.6000250577927
2024-01-02 09:40:00,0.86593,0.86618,0.86579,0.8659,885.6000216007233
2024-01-02 09:45:00,0.86588,0.866,0.86571,0.86586,1364.5800306797028
2024-01-02 09:50:00,0.86586,0.86604,0.86577,0.86591,890.3000206947327
2024-01-02 09:55:00,0.86592,0.86617,0.86588,0.86614,756.4600200653076
2024-01-02 10:00:00,0.86614,0.86634,0.86601,0.86605,1123.5900229215622
2024-01-02 10:05:00,0.86606,0.86612,0.86576,0.8658,1085.7500191926956
2024-01-02 10:10:00,0.86581,0.86603,0.86563,0.86572,1266.5500313043594
2024-01-02 10:15:00,0.86573,0.86588,0.86552,0.86581,1324.3800376653671
2024-01-02 10:20:00,0.8658,0.86597,0.86575,0.86594,832.1200239658356
2024-01-02 10:25:00,0.86594,0.86597,0.86565,0.86584,980.4700232744217
2024-01-02 10:30:00,0.86584,0.86593,0.86573,0.86588,727.6300143003464
2024-01-02 10:35:00,0.86589,0.86608,0.86588,0.86607,748.7300122976303
2024-01-02 10:40:00,0.86606,0.86662,0.86601,0.86645,1117.6300117969513
2024-01-02 10:45:00,0.86645,0.86667,0.86639,0.86665,993.97001516819
2024-01-02 10:50:00,0.86664,0.86687,0.86652,0.86658,935.9000135660172
2024-01-02 10:55:00,0.86658,0.8672,0.86651,0.86713,1647.6300241947174
2024-01-02 11:00:00,0.86711,0.86777,0.8671,0.86758,1715.5500297546387
2024-01-02 11:05:00,0.86756,0.86774,0.86741,0.86773,1427.7500245571136
2024-01-02 11:10:00,0.86773,0.86793,0.86746,0.86746,1550.8000252246857
2024-01-02 11:15:00,0.86745,0.86762,0.86686,0.86689,1569.3900307416916
2024-01-02 11:20:00,0.86691,0.86692,0.86635,0.86642,1698.9000200033188
2024-01-02 11:25:00,0.86641,0.8665,0.866,0.86645,1383.1300233602524
2024-01-02 11:30:00,0.86644,0.8665,0.86616,0.86649,908.9000191688538
2024-01-02 11:35:00,0.86648,0.86656,0.8662,0.86641,1011.6600247621536
2024-01-02 11:40:00,0.86642,0.86675,0.86633,0.86674,584.1800174713135
2024-01-02 11:45:00,0.86678,0.86691,0.86651,0.8666,1192.5000275373459
2024-01-02 11:50:00,0.86661,0.86684,0.86645,0.8666,636.000017285347
2024-01-02 11:55:00,0.8666,0.86677,0.86626,0.86631,1251.2300301790237
2024-01-02 12:00:00,0.86632,0.8669,0.86627,0.86677,788.4700213670731
2024-01-02 12:05:00,0.86675,0.86696,0.86667,0.86676,992.720019698143
2024-01-02 12:10:00,0.86674,0.86678,0.86649,0.8667,982.0400204658508
2024-01-02 12:15:00,0.86671,0.86674,0.86631,0.86633,856.850020647049
2024-01-02 12:20:00,0.86631,0.8664,0.86613,0.8664,1281.9800279140472
2024-01-02 12:25:00,0.86638,0.86643,0.86617,0.86627,893.790022611618
2024-01-02 12:30:00,0.86627,0.8665,0.86626,0.86644,600.9300163984299
2024-01-02 12:35:00,0.86645,0.86667,0.86628,0.86653,1032.0200276374817
2024-01-02 12:40:00,0.86655,0.86667,0.86646,0.86664,776.640018582344
2024-01-02 12:45:00,0.86665,0.86686,0.86665,0.86676,722.6300181150436
2024-01-02 12:50:00,0.86672,0.86677,0.86652,0.86673,867.1500234603882
2024-01-02 12:55:00,0.86672,0.86692,0.86642,0.86642,1123.6300247907639
2024-01-02 13:00:00,0.86639,0.8665,0.86621,0.8664,974.4100214242935
2024-01-02 13:05:00,0.86642,0.86659,0.86635,0.86647,620.2900136709213
2024-01-02 13:10:00,0.86645,0.86679,0.86645,0.86665,712.0600162744522
2024-01-02 13:15:00,0.86665,0.86697,0.86658,0.86692,824.7300186157227
2024-01-02 13:20:00,0.86691,0.86709,0.86682,0.86695,850.7000250816345
2024-01-02 13:25:00,0.86695,0.86718,0.86694,0.86699,773.3600188493729
2024-01-02 13:30:00,0.86701,0.86706,0.86686,0.86701,907.9900218248367
2024-01-02 13:35:00,0.86699,0.86756,0.86698,0.86754,741.2400172948837
2024-01-02 13:40:00,0.86754,0.86765,0.86735,0.8676,1117.8000197410583
2024-01-02 13:45:00,0.86761,0.86765,0.86741,0.86757,751.8300153017044
2024-01-02 13:50:00,0.86757,0.86772,0.86727,0.86744,1126.8800247907639
2024-01-02 13:55:00,0.86742,0.86742,0.86713,0.86724,821.5600222349167
2024-01-02 14:00:00,0.86728,0.86739,0.86698,0.86702,1246.9000310897827
2024-01-02 14:05:00,0.86701,0.86726,0.86694,0.86699,751.3100177049637
2024-01-02 14:10:00,0.867,0.86729,0.86698,0.86709,827.1900225877762
2024-01-02 14:15:00,0.86709,0.86725,0.86706,0.86712,1062.4800276756287
2024-01-02 14:20:00,0.86712,0.86717,0.86663,0.86691,997.080029964447
2024-01-02 14:25:00,0.86691,0.867,0.86667,0.86679,1015.8900213241577
2024-01-02 14:30:00,0.8668,0.86685,0.86654,0.86664,1408.8200355768204
2024-01-02 14:35:00,0.86663,0.8671,0.86661,0.86708,1068.5400249958038
2024-01-02 14:40:00,0.86706,0.86744,0.86696,0.8672,1361.0700311660767
2024-01-02 14:45:00,0.86722,0.86754,0.86715,0.86725,2318.3000581264496
2024-01-02 14:50:00,0.86726,0.86761,0.86717,0.8676,1329.520035982132
2024-01-02 14:55:00,0.86761,0.86819,0.86757,0.86818,1468.5400342941284
2024-01-02 15:00:00,0.86821,0.86827,0.8678,0.8679,1587.69003367424
